WKT,id,province_id,name,alt_name,latitude,longitude
"POINT (106.55271 -5.5985)",3101.0,31.0,KABUPATEN KEPULAUAN SERIBU,KABUPATEN KEPULAUAN SERIBU,-5.5985,106.55271
"POINT (106.8135 -6.266)",3171.0,31.0,KOTA JAKARTA SELATAN,KOTA JAKARTA SELATAN,-6.266,106.8135
"POINT (106.8994496 -6.2265031)",3172.0,31.0,KOTA JAKARTA TIMUR,KOTA JAKARTA TIMUR,-6.2265031,106.8994496
"POINT (106.8280262 -6.1811986)",3173.0,31.0,KOTA JAKARTA PUSAT,KOTA JAKARTA PUSAT,-6.1811986,106.8280262
"POINT (106.7673 -6.1676)",3174.0,31.0,KOTA JAKARTA BARAT,KOTA JAKARTA BARAT,-6.1676,106.7673
"POINT (106.8922563 -6.1601841)",3175.0,31.0,KOTA JAKARTA UTARA,KOTA JAKARTA UTARA,-6.1601841,106.8922563
"POINT (106.71667 -6.58333)",3201.0,32.0,KABUPATEN BOGOR,KABUPATEN BOGOR,-6.58333,106.71667
"POINT (106.7 -7.06667)",3202.0,32.0,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI,-7.06667,106.7
"POINT (107.141425 -6.8168191)",3203.0,32.0,KABUPATEN CIANJUR,KABUPATEN CIANJUR,-6.8168191,107.141425
"POINT (107.6 -7.1)",3204.0,32.0,KABUPATEN BANDUNG,KABUPATEN BANDUNG,-7.1,107.6
"POINT (107.76667 -7.38333)",3205.0,32.0,KABUPATEN GARUT,KABUPATEN GARUT,-7.38333,107.76667
"POINT (108.13333 -7.5)",3206.0,32.0,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,-7.5,108.13333
"POINT (108.41667 -7.28333)",3207.0,32.0,KABUPATEN CIAMIS,KABUPATEN CIAMIS,-7.28333,108.41667
"POINT (108.55 -7.0)",3208.0,32.0,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,-7,108.55
"POINT (108.56667 -6.8)",3209.0,32.0,KABUPATEN CIREBON,KABUPATEN CIREBON,-6.8,108.56667
"POINT (108.28333 -6.81667)",3210.0,32.0,KABUPATEN MAJALENGKA,KABUPATEN MAJALENGKA,-6.81667,108.28333
"POINT (107.98333 -6.81667)",3211.0,32.0,KABUPATEN SUMEDANG,KABUPATEN SUMEDANG,-6.81667,107.98333
"POINT (108.16667 -6.45)",3212.0,32.0,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU,-6.45,108.16667
"POINT (107.7574318 -6.5642698)",3213.0,32.0,KABUPATEN SUBANG,KABUPATEN SUBANG,-6.5642698,107.7574318
"POINT (107.4438201 -6.5478586)",3214.0,32.0,KABUPATEN PURWAKARTA,KABUPATEN PURWAKARTA,-6.5478586,107.4438201
"POINT (107.2853491 -6.3072798)",3215.0,32.0,KABUPATEN KARAWANG,KABUPATEN KARAWANG,-6.3072798,107.2853491
"POINT (107.172359 -6.3700311)",3216.0,32.0,KABUPATEN BEKASI,KABUPATEN BEKASI,-6.3700311,107.172359
"POINT (107.48333 -6.83333)",3217.0,32.0,KABUPATEN BANDUNG BARAT,KABUPATEN BANDUNG BARAT,-6.83333,107.48333
"POINT (108.64037 -7.6673)",3218.0,32.0,KABUPATEN PANGANDARAN,KABUPATEN PANGANDARAN,-7.6673,108.64037
"POINT (106.8 -6.59167)",3271.0,32.0,KOTA BOGOR,KOTA BOGOR,-6.59167,106.8
"POINT (106.9292101 -6.9377308)",3272.0,32.0,KOTA SUKABUMI,KOTA SUKABUMI,-6.9377308,106.9292101
"POINT (107.62444 -6.9175)",3273.0,32.0,KOTA BANDUNG,KOTA BANDUNG,-6.9175,107.62444
"POINT (108.55 -6.75)",3274.0,32.0,KOTA CIREBON,KOTA CIREBON,-6.75,108.55
"POINT (106.9747469 -6.2408413)",3275.0,32.0,KOTA BEKASI,KOTA BEKASI,-6.2408413,106.9747469
"POINT (106.81667 -6.4)",3276.0,32.0,KOTA DEPOK,KOTA DEPOK,-6.4,106.81667
"POINT (107.55 -6.89167)",3277.0,32.0,KOTA CIMAHI,KOTA CIMAHI,-6.89167,107.55
"POINT (108.21667 -7.35)",3278.0,32.0,KOTA TASIKMALAYA,KOTA TASIKMALAYA,-7.35,108.21667
"POINT (108.53209 -7.36996)",3279.0,32.0,KOTA BANJAR,KOTA BANJAR,-7.36996,108.53209
"POINT (108.98861 -7.57417)",3301.0,33.0,KABUPATEN CILACAP,KABUPATEN CILACAP,-7.57417,108.98861
"POINT (109.16667 -7.45)",3302.0,33.0,KABUPATEN BANYUMAS,KABUPATEN BANYUMAS,-7.45,109.16667
"POINT (109.35028 -7.28417)",3303.0,33.0,KABUPATEN PURBALINGGA,KABUPATEN PURBALINGGA,-7.28417,109.35028
"POINT (109.5875 -7.35111)",3304.0,33.0,KABUPATEN BANJARNEGARA,KABUPATEN BANJARNEGARA,-7.35111,109.5875
"POINT (109.66056 -7.63917)",3305.0,33.0,KABUPATEN KEBUMEN,KABUPATEN KEBUMEN,-7.63917,109.66056
"POINT (109.96667 -7.7)",3306.0,33.0,KABUPATEN PURWOREJO,KABUPATEN PURWOREJO,-7.7,109.96667
"POINT (109.92667 -7.36139)",3307.0,33.0,KABUPATEN WONOSOBO,KABUPATEN WONOSOBO,-7.36139,109.92667
"POINT (110.16194 -7.4275)",3308.0,33.0,KABUPATEN MAGELANG,KABUPATEN MAGELANG,-7.4275,110.16194
"POINT (110.7 -7.5)",3309.0,33.0,KABUPATEN BOYOLALI,KABUPATEN BOYOLALI,-7.5,110.7
"POINT (110.61667 -7.68333)",3310.0,33.0,KABUPATEN KLATEN,KABUPATEN KLATEN,-7.68333,110.61667
"POINT (110.83333 -7.68333)",3311.0,33.0,KABUPATEN SUKOHARJO,KABUPATEN SUKOHARJO,-7.68333,110.83333
"POINT (111.0 -7.91667)",3312.0,33.0,KABUPATEN WONOGIRI,KABUPATEN WONOGIRI,-7.91667,111
"POINT (111.0625 -7.62806)",3313.0,33.0,KABUPATEN KARANGANYAR,KABUPATEN KARANGANYAR,-7.62806,111.0625
"POINT (110.935 -7.41278)",3314.0,33.0,KABUPATEN SRAGEN,KABUPATEN SRAGEN,-7.41278,110.935
"POINT (110.91667 -7.11667)",3315.0,33.0,KABUPATEN GROBOGAN,KABUPATEN GROBOGAN,-7.11667,110.91667
"POINT (111.38333 -7.06667)",3316.0,33.0,KABUPATEN BLORA,KABUPATEN BLORA,-7.06667,111.38333
"POINT (111.46667 -6.78333)",3317.0,33.0,KABUPATEN REMBANG,KABUPATEN REMBANG,-6.78333,111.46667
"POINT (111.1 -6.76667)",3318.0,33.0,KABUPATEN PATI,KABUPATEN PATI,-6.76667,111.1
"POINT (110.86667 -6.8)",3319.0,33.0,KABUPATEN KUDUS,KABUPATEN KUDUS,-6.8,110.86667
"POINT (110.76667 -6.58333)",3320.0,33.0,KABUPATEN JEPARA,KABUPATEN JEPARA,-6.58333,110.76667
"POINT (110.6122 -6.8993)",3321.0,33.0,KABUPATEN DEMAK,KABUPATEN DEMAK,-6.8993,110.6122
"POINT (110.44139 -7.20667)",3322.0,33.0,KABUPATEN SEMARANG,KABUPATEN SEMARANG,-7.20667,110.44139
"POINT (110.11667 -7.25)",3323.0,33.0,KABUPATEN TEMANGGUNG,KABUPATEN TEMANGGUNG,-7.25,110.11667
"POINT (110.1685 -7.0256)",3324.0,33.0,KABUPATEN KENDAL,KABUPATEN KENDAL,-7.0256,110.1685
"POINT (109.88333 -7.03333)",3325.0,33.0,KABUPATEN BATANG,KABUPATEN BATANG,-7.03333,109.88333
"POINT (109.624 -7.0319)",3326.0,33.0,KABUPATEN PEKALONGAN,KABUPATEN PEKALONGAN,-7.0319,109.624
"POINT (109.4 -7.03333)",3327.0,33.0,KABUPATEN PEMALANG,KABUPATEN PEMALANG,-7.03333,109.4
"POINT (109.16667 -7.03333)",3328.0,33.0,KABUPATEN TEGAL,KABUPATEN TEGAL,-7.03333,109.16667
"POINT (108.9 -7.05)",3329.0,33.0,KABUPATEN BREBES,KABUPATEN BREBES,-7.05,108.9
"POINT (110.225 -7.5)",3371.0,33.0,KOTA MAGELANG,KOTA MAGELANG,-7.5,110.225
"POINT (110.81667 -7.55)",3372.0,33.0,KOTA SURAKARTA,KOTA SURAKARTA,-7.55,110.81667
"POINT (110.48333 -7.33278)",3373.0,33.0,KOTA SALATIGA,KOTA SALATIGA,-7.33278,110.48333
"POINT (110.38333 -7.03333)",3374.0,33.0,KOTA SEMARANG,KOTA SEMARANG,-7.03333,110.38333
"POINT (109.68333 -6.9)",3375.0,33.0,KOTA PEKALONGAN,KOTA PEKALONGAN,-6.9,109.68333
"POINT (109.1129 -6.8686)",3376.0,33.0,KOTA TEGAL,KOTA TEGAL,-6.8686,109.1129
"POINT (110.02694 -7.645)",3401.0,34.0,KABUPATEN KULON PROGO,KABUPATEN KULON PROGO,-7.645,110.02694
"POINT (110.36667 -7.9)",3402.0,34.0,KABUPATEN BANTUL,KABUPATEN BANTUL,-7.9,110.36667
"POINT (110.61667 -7.98333)",3403.0,34.0,KABUPATEN GUNUNG KIDUL,KABUPATEN GUNUNG KIDUL,-7.98333,110.61667
"POINT (110.32333 -7.68167)",3404.0,34.0,KABUPATEN SLEMAN,KABUPATEN SLEMAN,-7.68167,110.32333
"POINT (110.375 -7.8)",3471.0,34.0,KOTA YOGYAKARTA,KOTA YOGYAKARTA,-7.8,110.375
"POINT (111.16667 -8.13333)",3501.0,35.0,KABUPATEN PACITAN,KABUPATEN PACITAN,-8.13333,111.16667
"POINT (111.5 -7.93333)",3502.0,35.0,KABUPATEN PONOROGO,KABUPATEN PONOROGO,-7.93333,111.5
"POINT (111.61667 -8.16667)",3503.0,35.0,KABUPATEN TRENGGALEK,KABUPATEN TRENGGALEK,-8.16667,111.61667
"POINT (111.91667 -8.11667)",3504.0,35.0,KABUPATEN TULUNGAGUNG,KABUPATEN TULUNGAGUNG,-8.11667,111.91667
"POINT (112.25 -8.13333)",3505.0,35.0,KABUPATEN BLITAR,KABUPATEN BLITAR,-8.13333,112.25
"POINT (112.16667 -7.83333)",3506.0,35.0,KABUPATEN KEDIRI,KABUPATEN KEDIRI,-7.83333,112.16667
"POINT (112.66667 -8.16667)",3507.0,35.0,KABUPATEN MALANG,KABUPATEN MALANG,-8.16667,112.66667
"POINT (113.15 -8.11667)",3508.0,35.0,KABUPATEN LUMAJANG,KABUPATEN LUMAJANG,-8.11667,113.15
"POINT (113.65 -8.25)",3509.0,35.0,KABUPATEN JEMBER,KABUPATEN JEMBER,-8.25,113.65
"POINT (114.2 -8.33333)",3510.0,35.0,KABUPATEN BANYUWANGI,KABUPATEN BANYUWANGI,-8.33333,114.2
"POINT (113.9834 -7.9404)",3511.0,35.0,KABUPATEN BONDOWOSO,KABUPATEN BONDOWOSO,-7.9404,113.9834
"POINT (114.05 -7.71667)",3512.0,35.0,KABUPATEN SITUBONDO,KABUPATEN SITUBONDO,-7.71667,114.05
"POINT (113.31667 -7.86667)",3513.0,35.0,KABUPATEN PROBOLINGGO,KABUPATEN PROBOLINGGO,-7.86667,113.31667
"POINT (112.83333 -7.73333)",3514.0,35.0,KABUPATEN PASURUAN,KABUPATEN PASURUAN,-7.73333,112.83333
"POINT (112.7 -7.45)",3515.0,35.0,KABUPATEN SIDOARJO,KABUPATEN SIDOARJO,-7.45,112.7
"POINT (112.5 -7.55)",3516.0,35.0,KABUPATEN MOJOKERTO,KABUPATEN MOJOKERTO,-7.55,112.5
"POINT (112.25 -7.55)",3517.0,35.0,KABUPATEN JOMBANG,KABUPATEN JOMBANG,-7.55,112.25
"POINT (111.93333 -7.6)",3518.0,35.0,KABUPATEN NGANJUK,KABUPATEN NGANJUK,-7.6,111.93333
"POINT (111.65 -7.61667)",3519.0,35.0,KABUPATEN MADIUN,KABUPATEN MADIUN,-7.61667,111.65
"POINT (111.35917 -7.64472)",3520.0,35.0,KABUPATEN MAGETAN,KABUPATEN MAGETAN,-7.64472,111.35917
"POINT (111.33444 -7.47444)",3521.0,35.0,KABUPATEN NGAWI,KABUPATEN NGAWI,-7.47444,111.33444
"POINT (111.8 -7.25)",3522.0,35.0,KABUPATEN BOJONEGORO,KABUPATEN BOJONEGORO,-7.25,111.8
"POINT (111.9 -6.96667)",3523.0,35.0,KABUPATEN TUBAN,KABUPATEN TUBAN,-6.96667,111.9
"POINT (112.31667 -7.13333)",3524.0,35.0,KABUPATEN LAMONGAN,KABUPATEN LAMONGAN,-7.13333,112.31667
"POINT (112.553 -7.1933)",3525.0,35.0,KABUPATEN GRESIK,KABUPATEN GRESIK,-7.1933,112.553
"POINT (112.93333 -7.05)",3526.0,35.0,KABUPATEN BANGKALAN,KABUPATEN BANGKALAN,-7.05,112.93333
"POINT (113.25 -7.05)",3527.0,35.0,KABUPATEN SAMPANG,KABUPATEN SAMPANG,-7.05,113.25
"POINT (113.5 -7.06667)",3528.0,35.0,KABUPATEN PAMEKASAN,KABUPATEN PAMEKASAN,-7.06667,113.5
"POINT (114.33333 -7.11667)",3529.0,35.0,KABUPATEN SUMENEP,KABUPATEN SUMENEP,-7.11667,114.33333
"POINT (112.01667 -7.83333)",3571.0,35.0,KOTA KEDIRI,KOTA KEDIRI,-7.83333,112.01667
"POINT (112.16667 -8.1)",3572.0,35.0,KOTA BLITAR,KOTA BLITAR,-8.1,112.16667
"POINT (112.63333 -7.975)",3573.0,35.0,KOTA MALANG,KOTA MALANG,-7.975,112.63333
"POINT (113.21667 -7.78333)",3574.0,35.0,KOTA PROBOLINGGO,KOTA PROBOLINGGO,-7.78333,113.21667
"POINT (112.9 -7.65)",3575.0,35.0,KOTA PASURUAN,KOTA PASURUAN,-7.65,112.9
"POINT (112.43333 -7.46667)",3576.0,35.0,KOTA MOJOKERTO,KOTA MOJOKERTO,-7.46667,112.43333
"POINT (111.53333 -7.63333)",3577.0,35.0,KOTA MADIUN,KOTA MADIUN,-7.63333,111.53333
"POINT (112.71667 -7.26667)",3578.0,35.0,KOTA SURABAYA,KOTA SURABAYA,-7.26667,112.71667
"POINT (112.53751 -7.83272)",3579.0,35.0,KOTA BATU,KOTA BATU,-7.83272,112.53751
"POINT (105.6878561 -6.7521228)",3601.0,36.0,KABUPATEN PANDEGLANG,KABUPATEN PANDEGLANG,-6.7521228,105.6878561
"POINT (106.2527196 -6.5652051)",3602.0,36.0,KABUPATEN LEBAK,KABUPATEN LEBAK,-6.5652051,106.2527196
"POINT (106.4890718 -6.1862619)",3603.0,36.0,KABUPATEN TANGERANG,KABUPATEN TANGERANG,-6.1862619,106.4890718
"POINT (106.0317573 -6.1435143)",3604.0,36.0,KABUPATEN SERANG,KABUPATEN SERANG,-6.1435143,106.0317573
"POINT (106.6381498 -6.172272)",3671.0,36.0,KOTA TANGERANG,KOTA TANGERANG,-6.172272,106.6381498
"POINT (106.0549505 -6.020255)",3672.0,36.0,KOTA CILEGON,KOTA CILEGON,-6.020255,106.0549505
"POINT (106.1534232 -6.1177786)",3673.0,36.0,KOTA SERANG,KOTA SERANG,-6.1177786,106.1534232
"POINT (106.71244 -6.29373)",3674.0,36.0,KOTA TANGERANG SELATAN,KOTA TANGERANG SELATAN,-6.29373,106.71244
